Código;Alimento;Unidades;Factor Correc;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
F002;Almendra / semilla de girasol;gramos;1;5,25;572,56;21,26;50,64;3,881;32,155;12,214;0;7,94;11,8;3,11;1;728;248;474;4,3;3,36;3,93;29;0;0,241;0,811;0;0;0
F003;Ananá pulpa fresco;gramos;1,61;85,3;52,6;0,4;0,2;0,009;0,014;0,042;0;12,3;1,4;0,4;2;247;12;8;0,42;0,1;1;15,15;3;0,066;0,078;0;40,3;0
F004;Ananá enlatado;gramos;1;78;83,66;0,4;0,1;0,009;0,013;0,04;0;20,29;0,81;0,4;1;57;13;5;1,7;0,12;0,6;5;1;0,08;0,081;0;0;0
F005;Avellana;gramos;1;5,31;634,55;14,95;60,75;4,464;45,652;7,92;0;7;9,7;2,29;0;680;114;290;4,7;2,45;1,8;113;1;0,643;0,113;0;6,3;0
F006;Banana;gramos;1,48;74,8;88,2;1,2;0,2;0,112;0,032;0,073;0;20,4;2,6;0,8;1;348;7;28;0,41;0,15;1,2;20;3;0,061;0,087;0;6,1;0
F007;Cereza fresca (pulpa y piel);gramos;1;91,41;30,66;0,4;0,3;0,068;0,082;0,09;0;6,59;1,1;0,2;7;146;12;11;0,2;0,1;0,4;14;38;0,02;0,06;0;1677,6;0
F008;Ciruela pulpa fresca;gramos;1,17;85,7;50,6;0,7;0,2;0,017;0,134;0,044;0;11,5;1,4;0,5;2;261;24;16;0,41;0,1;0,8;5;17,3;0,026;0,059;0;4,2;0
F009;Ciruela pasa cruda;gramos;1,23;32,9;228,5;1,9;0,1;0,083;0,05;0,058;0;55;6,6;3,5;21;846;46;92;1,81;0,4;2,7;3,72;36,27;0,172;0,569;0;0;0
F010;Damasco;gramos;1,15;85,4;48,5;1;0,1;0,027;0,171;0,077;0;10,9;2;0,6;1;320;17;21;0,37;0,2;1,2;9;97;0,015;0,066;0;3,1;0
F011;Durazno fresco;gramos;1,25;86,9;44,78;0,5;0,1;0,019;0,068;0,087;0;10,47;1,5;0,5;3;259;5;19;0,38;0,17;0,8;4;16,3;0,02;0,04;0;6,3;0
F012;Durazno pulpa envasado al natural;gramos;1;80,9;69,7;0,4;0,1;0,004;0,012;0,017;0;16,8;1,4;0,4;1;151;4;10;1,93;0,11;1;3,24;20,5;0,021;0,045;0;0;0
F013;Durazno envasado diet;gramos;1;88,2;42,9;0,4;0,1;0,011;0,036;0,048;0;10,1;1;0,24;5;74;5;11;0,3;0,09;0,8;3;14;0,02;0,02;0;0;0
F014;Durazno orejón crudo con carozo;gramos;1,23;31,8;233,8;3,61;0,76;0,082;0,278;0,367;0;53,13;8,2;2,5;7;996;28;119;4,06;0,57;4,38;0;108;0,002;0,212;0;0;0
F015;Frutilla cruda / pitanga / mora;gramos;1,04;90;34,48;0,8;0,6;0,036;0,06;0,244;0;6,47;1,63;0,5;2;161;22;23;0,71;0,27;0,4;65;2,7;0,041;0,051;0;88,7;0
F016;Granada;gramos;1,78;81;72,6;0,6;0,2;0,038;0,046;0,063;0;17,1;0,6;0,5;85;63;11;105;0,78;0,12;0;6;5;0,01;0,03;0;6,1;0
F017;Guayaba;gramos;1,22;86,1;34,6;0,82;0,6;0,172;0,055;0,253;0;6,48;5,4;0,6;3;284;20;25;0,31;0,23;1,2;14;31;0,05;0,05;0;183,5;0
F018;Higo pulpa fresco;gramos;1,03;78;75,84;1,4;0,4;0,06;0,066;0,145;0;16,66;2,9;0,6;2;268;34;32;0,42;0,15;0,7;6;7;0,01;0,045;0;0,6;0
F019;Kaki pulpa fresco;gramos;1,2;78,2;72,04;0,8;0,4;0,02;0,037;0,043;0;16,31;3,7;0,6;1;165;8,2;17,4;0,15;0,11;0,1;8,21;83,1;0,016;0,001;0;13,1;0
F020;Kinoto pulpa y cáscara;gramos;1,05;81,3;46,9;0,9;0,1;0,101;0,152;0,169;0;10,6;6,5;0,6;10;186;61;19;0,86;0,17;0,43;17;15;0,083;0,096;0;57,6;0
F021;Kiwi / tuna;gramos;1,2;83,07;55,88;1,14;0,52;0,029;0,047;0,287;0;11,66;3;0,61;3;312;34;34;0,31;0,14;0,34;25;4;0,027;0,025;0;92,7;0
F022;Limón pulpa fresco;gramos;1,56;89,3;32,6;0,9;0,6;0,039;0,011;0,089;0;5,9;2,8;0,5;6;163;107;21;0,35;0,06;0,1;11;1;0,091;0,012;0;62,6;0
F023;Mamón;gramos;1,35;88,8;35,74;0,61;0,14;0,043;0,038;0,031;0;8,01;1,8;0,61;3;257;24;5;0,1;0,07;0,3;38;55;0,027;0,032;0;61,8;0
F024;Mandarina;gramos;1,43;87,6;39,79;0,63;0,19;0,022;0,034;0,037;0;8,89;2,3;0,39;1;157;14;10;0,1;0,24;0,16;20;34;0,105;0,022;0;30,8;0
F025;Mango;gramos;1,51;81,71;65,27;0,51;0,27;0,066;0,101;0,051;0;15,2;1,8;0,5;2;156;10;11;0,13;0,04;0,58;14;38;0,058;0,057;0;27,7;0
F026;Maní tostado salado;gramos;1;1,55;595,7;23,68;49,66;6,89;24,64;15,694;0;13,51;8;3,6;813;658;54;358;2,26;3,31;13,53;145;0;0,438;0,09;0;0;0
F027;Manzana con piel;gramos;1,2;85,56;48,21;0,26;0,17;0,028;0,007;0,051;0;11,41;2,4;0,19;1;107;6;11;0,12;0,04;0,09;3;3;0,017;0,026;0;4,6;0
F028;Manzana sin piel;gramos;1,2;84,1;59,08;0,3;0,4;0,021;0,005;0,038;0;13,57;1,3;0,3;5;122;4;9;0,5;0,05;0,2;0;2;0,041;0,047;0;2,8;0
F029;Melón pulpa fresco;gramos;1,51;92,7;24,2;0,6;0,2;0,024;0,001;0,038;0;5;0,9;0,6;17;275;17;18;0,52;0,07;0,3;8;0;0,042;0,031;0;14,8;0
F030;Membrillo pulpa fresco crudo;gramos;1,2;85,3;50,1;0,3;0,1;0,009;0,035;0,049;0;12;1,9;0,4;3;203;14;19;0,32;0,04;0,9;3;2;0,032;0,054;0;3,4;0
F031;Naranja;gramos;1,54;87,14;41,25;0,7;0,21;0,025;0,039;0,042;0;9,14;2,4;0,41;0;169;43;12;0,09;0,08;0,4;17;11;0,1;0,04;0;45;0
F032;Nispero / guabirva;gramos;1,19;86,73;45,28;0,43;0,2;0,04;0,008;0,091;0;10,44;1,7;0,5;1;266;16;27;0,28;0,05;0,18;14;76;0,019;0,024;0;1;0
F033;Nuez;gramos;2,5;4,07;675,85;15,23;65,21;6,12;8,93;47,17;0;7,01;6,7;1,78;2;441;98;346;2,91;3,09;1,13;98;1;0,341;0,15;0;1,3;0
F034;Palta;gramos;1,35;65,4;249,6;1,7;26,4;3,826;17,638;3,268;0;1,3;2;3,2;16;396;15;31;0,53;0,7;0,4;64;7;0,043;0,137;0;58;0
F035;Pasas de uva;gramos;1;15,43;318,34;3,07;0,46;0,058;0,051;0,037;0;75,48;3,7;1,85;11;749;50;101;1,88;0,22;0,77;5;0;0,106;0,125;0;0;0
F036;Pera;gramos;1,2;82,7;57,2;0,7;0,4;0,007;0,027;0,03;0;12,7;3,1;0,4;2;129;8;10;0,19;0,1;0,2;7;1;0,057;0,074;0;3;0
F037;Pera al natural en lata;gramos;1;80,35;72,25;0,2;0,13;0,007;0,027;0,03;0;17,57;1,6;0,15;5;65;5;7;0,22;0,08;0,24;1;0;0,01;0,022;0;0;0
F038;Pera al natural en lata diet;gramos;1;87,3;44,5;0,3;0,1;0,006;0,021;0,023;0;10,6;1,6;0,1;2;45;7;7;0,2;0,07;0,4;1;0;0,01;0,02;0;0;0
F039;Pera orejón crudo;gramos;1,23;24;266;2,3;0,4;0,038;0,146;0,164;0;63,3;8,3;1,7;6,6;592;37,8;65,6;2,33;0,43;1,3;0;0;0,061;0,106;0;0;0
F040;Pistachos;gramos;1;3,97;553,08;20,61;44,44;5,44;23,319;13,455;0;17,67;10,3;3,02;1;1025;107;490;4,15;2,2;1,3;51;28;0,87;0,16;0;5;0
F041;Pomelo;gramos;1,55;92,9;21,32;0,5;0;0,013;0,12;0,023;0;4,83;1,07;0,7;37;147;13;10;0,21;0,06;0;10;2;0,104;0,078;0;47,8;0
F042;Sandía;gramos;2,12;92,1;29,8;0,5;0,2;0,015;0,036;0,049;0;6,5;0,4;0,3;8;73;11;3;0,23;0,1;0,18;3;28;0,015;0,022;0;9,1;0
F043;Uva fresca;gramos;1,28;80,54;73,12;0,72;0,16;0,054;0,007;0,048;0;17,2;0,9;0,48;2;191;10;20;0,36;0,07;0,19;2;3;0,069;0,07;0;10,8;0
F044;Acerola;gramos;1;91,41;30,66;0,4;0,3;0,068;0,082;0,09;0;6,59;1,1;0,2;7;146;12;11;0,2;0,1;0,4;14;38;0,02;0,06;0;1677,6;0
F045;Cayota o Alcayota;gramos;1;94,85;13,25;0,82;0,13;0,028;0,01;0,057;0;2,2;1,7;0,3;2;125;17;18;0,34;0,74;0,47;93;0;0,025;0,029;0;0;0
F046;Coco fresco;gramos;1;46,9;345,9;3,4;34,7;29,698;1,425;0,366;0;5;9;1;17;436;13;94;2,08;1,1;0,1;26;0;0,173;0;0;3,3;0
G001;Aceite de girasol;gramos;1;0;900;0;100;10,9;23;61,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G002;Aceite de maíz;gramos;1;0;900;0;100;15,2;31,8;48,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G003;Aceite comestible mezcla;gramos;1;0;900;0;100;11;27,6;61,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G004;Aceite de oliva;gramos;1;0;900;0;100;17;71,1;12,4;0;0;0;0;3;1;1;0;0,66;0;0;0;0;0;0;0;0;0
G005;Aceite de canola;gramos;1;0;900;0;100;6,1;55;33,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G006;Aceite de uva;gramos;1;0;900;0;100;11;23,6;65,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G007;Aceite de soja;gramos;1;0;900;0;100;14,4;23,3;57,9;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0
G008;Grasa de cerdo;gramos;1;7,69;809,98;2,92;88,7;32,21;41,95;10,35;57;0;0;0,6;11;65;2;38;0,18;0,37;0,99;1;5;0,084;0,051;0,2;0;0
G009;Grasa vacuna;gramos;1;0,1;899,1;0;99,9;49,8;41,8;4;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G010;Manteca;gramos;1;15,3;758;0,5;84;50,25;29,49;1,25;223;0;0;0,2;223;15;15;24;0,16;0,09;0,04;0,03;704;0,005;0,03;0,2;0;0
G011;Margarina 100% vegetal (en pote y en pan);gramos;1;16;747;0;83;20,3;49,8;12,9;0;0;0;1;925;41;29;22;0;0;0,02;1;804;0,01;0,036;0,1;0;0
G012;Margarina reducida en calorías untable;gramos;1;42;504;0;56;13,5;33;9,5;0;0;0;1,58;730;28;20;15;0;0;0,02;1;761;0,007;0,026;0,07;0;0
G013;Crema de leche;gramos;1;57,71;352,36;2,05;37;23,032;10,686;1,374;137;2,79;0;0,45;38;75;65;62;0,03;0,23;0,04;4;411;0,022;0,11;0,18;0;0
H001;Acelga;gramos;1,66;94;19,4;2,2;0,2;0,029;0,039;0,069;0;2,2;1,6;1;154;639;115;102;6,94;0,35;0,5;13,8;301;0,089;0,14;0;17,74;0
H002;Achicoria;gramos;1,25;94,2;15,5;1,6;0,3;0,071;0,006;0,127;0;1,6;1,3;1;7;182;18;21;0,69;0,4;0,48;107,36;279,13;0,058;0,097;0;49,3;0
H003;Ají rojo / morrón rojo;gramos;1,27;92,21;22,78;0,99;0,3;0,059;0,007;0,156;0;4,03;2;0,47;2;211;7;26;0,43;0,25;0,97;18;157;0,054;0,085;0;170,3;0
H004;Ají verde / morrón verde ó amarillo;gramos;1,27;93,09;16,73;0,86;0,17;0,035;0,005;0,062;0;2,94;1,7;0,43;3;175;10;20;0,34;0,13;0,48;11;18;0,057;0,028;0;73,46;0
H005;Alcaucil;gramos;2,08;83,7;41;2,9;0,4;0,035;0,005;0,063;0;6,45;5,45;1,1;94,94;377;40;94;1,89;0,49;0,8;68,68;0;0,05;0,067;0;10;0
H006;Apio;gramos;1,58;95,43;9,77;0,69;0,17;0,043;0,032;0,081;0;1,37;1,6;0,75;80;260;40;24;0,2;0,13;0,32;36;22;0,021;0,057;0;6,01;0
H007;Arveja fresca;gramos;2,29;71,2;83,36;8,9;0,44;0,071;0,035;0,189;0;10,95;5,65;3,3;38;395;21;129;1,63;1,37;1,2;71,95;42;0,21;0,158;0;15,47;0
H008;Arveja fresca enlatada;gramos;1;70,4;104,4;6;0,8;0,018;0,01;0,01;0;18,3;3,4;1,1;87,8;155;54,1;67;1,5;1,5;2,9;51;31,32;0,086;0,087;0,14;11,14;0
H009;Batata;gramos;1,42;78;71,81;1,1;0,05;0,018;0,001;0,014;0;16,74;3,06;1,1;6;417;34;64;0,25;0,3;1,1;14,28;74,54;0,103;0,14;0;13,14;0
H010;Berenjena;gramos;1,07;92,7;14,76;1,1;0,2;0,034;0,016;0,076;0;2,14;3,36;0,5;3;238;10;12;0,39;0,16;1,8;22;1;0,118;0,479;0;1,25;0
H011;Berro;gramos;1,96;93,6;20,7;1,7;0,3;0,027;0,008;0,035;0;2,8;0,5;1,1;60;314;222;52;1,62;0,11;0,6;9,09;237,35;0,118;0,207;0;111,3;0
H012;Brócoli;gramos;2;89,9;26,6;3,3;0,2;0,039;0,01;0,038;0;2,9;2,6;1,1;32,7;313,9;46,68;65,5;0,73;0,4;0,7;62,36;32,67;0,076;0,165;0;42;0
H013;Brotes de soja;gramos;1;69,05;146,54;13,09;6,7;0,929;1,518;3,783;0;8,47;1,1;1,59;14;484;67;164;2,1;1,17;1,15;172;1;0,34;0,118;0;15,3;0
H014;Cebolla;gramos;1,17;94,7;12,63;0,8;0,07;0,024;0,021;0,055;0;2,2;1,3;1;26;100;26;20;0,58;0,14;0,3;17,67;0;0,06;0,07;0;4,82;0
H015;Coliflor;gramos;2,22;91,7;21;2,4;0,2;0,032;0,014;0,099;0;2,4;2,5;0,8;41;313;25;65;0,9;0,28;0,5;57;1;0,137;0,08;0;44,92;0
H016;Chaucha;gramos;1,11;91,6;15,88;2,4;0,12;0,025;0,04;0,05;0;1,3;1,9;2,8;23;247;60;100;2,8;0,23;0,7;36,26;34,3;0,048;0,28;0;9,7;0
H017;Choclo fresco;gramos;3,33;73,9;96,6;3,7;1,2;0,019;0,353;0,57;0;17,75;2,75;0,7;40;113;6;103;0,47;0,46;2;47;10,27;0,134;0,081;0;5,83;0
H018;Choclo enlatado en grano;gramos;1;76,58;83,9;2,41;0,5;0,077;0,147;0,237;0;17,44;2;1,07;2,72;186;5;64;0,42;0,46;1,17;49;0;0,041;0,073;0;8,5;0
H019;Choco enlatado cremoso;gramos;1;78,73;78,46;1,74;0,42;0,065;0,123;0,198;0;16,93;1,2;0,98;285;134;3;51;0,38;0,53;0,96;45;0;0,025;0,053;0;4,6;0
H020;Escarola;gramos;1,33;93,3;11,8;1,6;0,2;0,048;0,004;0,087;0;0,9;3,1;0,9;10;381;44;67;2,77;0,79;0,4;142,56;108;0,026;0,035;0;11,1;0
H021;Espárrago;gramos;3,33;93;17,8;2,2;0,2;0,046;0,006;0,088;0;1,8;2,1;0,7;7;196;25;39;1;0,54;0,4;52,1;38;0,186;0,162;0;7,7;0
H022;Espinaca;gramos;1,66;92,3;24,83;3,9;0,39;0,062;0,01;0,163;0;1,43;1,21;1,4;36;918;95;92;3,08;0,53;0,72;192;464,31;0,098;0,21;0;9,68;0
H023;Habas fresca;gramos;2,5;73,4;80,72;6,7;0,8;0,152;0,017;0,341;0;11,68;4,62;2,8;12;502;36;157;1,39;0,64;0,8;105,6;19,8;0,2;0,152;0;22,57;0
H024;Hinojo;gramos;2,85;92,8;11,8;1,9;0,2;0,046;0,006;0,088;0;0,6;3;1,5;50;402;48;49;0,7;0,19;0,3;26,19;7;0,036;0,036;0;15,9;0
H025;Hongos frescos;gramos;1;92,46;23,66;3,11;0,34;0,046;0,006;0,139;0;2,04;1,2;0,85;4;314;3;85;0,52;0,52;3,85;16;0;0,091;0,416;0,04;2,4;0
H026;Hongos enlatados;gramos;1;91,08;20,85;1,87;0,29;0,038;0,005;0,113;0;2,69;2,4;1,67;425;129;11;66;0,79;0,72;1,59;12;0;0,085;0,021;0;0;0
H027;Lechuga;gramos;1,66;95,07;12,75;1,36;0,15;0,02;0,006;0,082;0;1,49;1,3;0,62;28;194;36;29;0,86;0,18;0,38;38;370;0,07;0,08;0;18;0
H028;Mandioca;gramos;1,42;59,68;153;1,36;0,28;0,074;0,075;0,048;0;36,26;1,8;0,62;14;271;16;27;0,27;0,34;0,85;27;1;0,087;0,048;0;20,6;0
H029;Palmitos en lata;gramos;1;90,2;24,54;2,52;0,62;0,013;0,103;0,202;0;2,22;2,4;2,04;426;177;58;65;3,13;1,15;0,44;39;0;0,011;0,057;0;0;0
H030;Papa;gramos;1,33;78;82,5;2,7;0,1;0;0;0;0;17,7;1,6;0,5;24;493;36;72;0,86;0,4;1,9;12,8;0;0,13;0,106;0;9,85;0
H031;Pepino;gramos;1,43;96,1;11,7;0,7;0,1;0,013;0,002;0,003;0;2;0,7;0,4;13;141;23;24;0,3;0,17;0,1;14;4;0,044;0,057;0;6,1;0
H032;Puerro;gramos;1,92;88,2;38,44;2,5;0,4;0,037;0,004;0,156;0;6,21;1,69;1;81;199;58;6;0,65;0,11;0,5;60;78;0,111;0,03;0;4,32;0
H033;Rabanito;gramos;2,04;91,8;22,7;1,3;0,1;0,031;0,017;0,046;0;4,15;1,65;1;40,47;241,8;25,94;20,75;0,35;0,29;0,5;25,94;0;0,067;0,04;0;17,7;0
H034;Radicheta;gramos;1,12;90;11,68;2,2;0;0,074;0,006;0,134;0;0,72;4,08;1,3;97;339;138;64;1,71;0,43;0,51;112;292;0,06;0,1;0;14,8;0
H035;Remolacha;gramos;1,33;85,6;42,8;2,4;0;0,275;0,337;0,062;0;8,3;2,8;0,9;51;399;13;46;2,86;0,36;0,7;109;2;0,065;0,053;0;3,68;0
H036;Repollito bruselas;gramos;1,13;84,9;42,34;4,4;0,5;0,062;0,023;0,153;0;5,06;3,84;1,3;25,25;393;42,4;69,7;1,41;0,42;0,75;109;38,4;0,14;0,09;0;63,76;0
H037;Repollo;gramos;1,37;94;14,08;2,4;0;0;0;0;0;1,12;0,78;1,7;17;241;46;23;0,59;0,18;0,3;42;8,8;0,102;0,16;0;23;0
H038;Tomate fresco;gramos;1,1;94;17,4;1;0,2;0,045;0,05;0,135;0;2,9;1,2;0,9;5;267;9;43;1,67;0,17;0,4;15;42,2;0,071;0,062;0;18,1;0
H039;Tomate conserva en lata;gramos;1;94,34;16,41;0,8;0,13;0,018;0,021;0,054;0;3,01;0,9;0,82;128;188;31;19;0,97;0,14;0,74;8;6;0,045;0,047;0;9;0
H040;Zanahoria;gramos;1,13;86;42,32;1,1;0,24;0,032;0,012;0,102;0;8,94;3,06;0,8;22;366;37;46;0,47;0,25;0,3;19,38;614;0,08;0,069;0;3,9;0
H041;Zapallito;gramos;1,39;96;10,1;0,8;0,18;0,036;0,014;0,074;0;1,32;1,08;0,8;2;203;24;33;1,51;0,29;0,48;28,58;9,8;0,047;0,14;0;5,36;0
H042;Zapallo;gramos;1,66;91;25;0,5;0,2;0,052;0,013;0,005;0;5,3;0,5;2,5;2;162;23;14;0,9;0,32;0,4;16;369;0,044;0,058;0;4,83;0
L001;Leche chocolatada;mililitros;1;82,3;81,35;3,17;3,39;2,104;0,99;0,124;12;9,54;0,8;0,8;60;167;112;101;0,24;0,41;0,13;5;26;0,037;0,162;0,33;0;0
L002;Leche de cabra entera fluida;mililitros;1;86,2;78,3;3,3;5,9;2,667;1,109;0,149;11;3;0;1,6;27;171;153;139;0,26;0,3;0,28;1;57;0,048;0,138;0,07;0;0
L003;Leche de oveja entera fluida;mililitros;1;82,6;98,5;5,5;6,5;4,51;1,689;0,301;26;4,5;0;0,9;30;187;207;123;0,1;0,52;0,4;7;43;0,065;0,347;0,69;0;0
L004;Leche de vaca parcialmente descremada;mililitros;1;90,1;43,8;3,2;1,4;0,963;0,837;0,06;8;4,6;0;0,68;55;138;120;109;0,08;0,33;0,09;5;32,5;0,04;0,185;0,46;0;0
L005;Leche de vaca parcialmente descremada con vitaminas A y D;mililitros;1;90,1;43,8;3,2;1,4;0,963;0,837;0,06;8;4,6;0;0,68;55;138;120;109;0,08;0,33;0,09;5;63;0,04;0,185;0,46;0;0
L006;Leche de vaca entera fluida;mililitros;1;88,7;56,9;3,1;2,9;1,85;0,803;0,193;10;4,6;0;0,66;57;137;123;95;0,07;0,33;0,11;5;28;0,043;0,181;0,435;0;0
L007;Leche de vaca entera fluida con vitaminas A y D;mililitros;1;88,7;56,9;3,1;2,9;1,85;0,803;0,193;10;4,6;0;0,66;57;137;123;95;0,07;0,33;0,11;5;63;0,043;0,181;0,435;0;0
L008;Leche en polvo descremada;mililitros;1;3,2;359,4;35,5;1;0,493;0,198;0,029;20;52,1;0;8,15;563;1640;1303;1027;0,53;4,27;0,94;50;6;0,41;1,53;4,03;0;0
L009;Leche en polvo deslactosada con vitaminas A y D;mililitros;1;4,28;490;26;26;14,76;6,973;0,585;85;38;0;5,72;404;1224;821;761;0,54;3,32;0,57;33;227;0,249;1,062;2,86;0;0
L010;Leche en polvo entera;mililitros;1;2,8;490,4;25,8;24,8;14,76;6,973;0,585;85;41;0;5,72;404;1224;821;761;0,54;3,32;0,57;33;227;0,249;1,062;2,86;0;0
L011;Leche entera fluida desactosada con vitaminas A y D;mililitros;1;88,7;57,8;3;3;1,87;0,87;0,11;12;4,7;0;0,6;49;151;105;80;0,05;0,38;0,08;8,33;63;0,04;0,16;0,36;0;0
L012;Leche parcialmente descremada Fluida deslactosada con vitaminas A y D;mililitros;1;88,7;45,5;3,3;1,5;0,94;0,43;0,06;6;4,7;0;0,6;49;153;140;110;0;0,39;0,09;8,33;63;0,04;0,16;0,36;0;0
L013;Postres de leche bebible (tipo Danonino);mililitros;1;77,5;99,36;2,4;2,4;1,493;0,691;0,089;9;17,04;0,06;0,54;38;119;120;68;0,03;2,1;0,06;25,17;102;0,03;0,11;0,26;0;0
L014;Postres de leche listos para consumir (tipo Danonino);mililitros;1;69,5;120,92;6,5;3,2;2,04;0,88;0,21;9;16,53;0,07;4,13;37;116;160;108;0;2,1;0,01;25;100;0,01;0,02;0,06;0;0
L015;Postres de leche listos para consumir (tipo Serenito);mililitros;1;61,7;182,9;3,4;6,1;3,89;1,69;0,4;11;28,6;0;0,2;93;160;112;133;0,04;1,7;0,08;27,83;117;0,03;0,14;0,33;0;0
L016;Postres de leche listos para consumir diet (tipo Ser);mililitros;1;77,1;80,05;4;0,05;0,03;0,01;0,002;23;15,9;0,3;2,35;109;192;146;157;0;0,46;0,09;54,73;152;0,04;0,25;0,41;0;0
L017;Probióticos descremados;mililitros;1;77,5;88,3;2,7;1,5;0,731;0,636;0,051;6;16;0;2,3;38;119;98;68;0,03;2,1;0,06;25,17;102;0,03;0,11;0,26;0;0
L018;Probióticos enteros;mililitros;1;77,5;88,3;2,7;1,5;0,731;0,636;0,051;6;16;0;2,3;38;119;98;68;0,03;2,1;0,06;25,17;102;0,03;0,11;0,26;0;0
L019;Leche entera en polvo fortificada con hierro (Plan Materno infantil y otros);mililitros;1;2,8;490,4;25,8;24,8;14,76;6,973;0,585;85;41;0;5,72;404;1224;821;761;12;3,32;0,57;33;227;0,249;1,062;2,86;2,86;0
L020;Leche entera fluida fortificada con hierro;mililitros;1;88,7;56,9;3,1;2,9;1,87;0,87;0,11;12;4,6;0;0,66;57;137;123;95;1,5;0,33;0,11;5;63;0,043;0,181;0,435;0;0
L021;Leche Chocolatada Cindor;mililitros;1;83,1;72,24;3,21;1,48;0,92;0,43;0,05;5;11,52;0,04;0,61;77;162;117;134;0,3;0,43;0,09;7,8;52;0,04;0,16;0,34;0;0
L022;Fórmula de inicio en polvo;mililitros;1;2,42;484,7;10,4;25,9;11,2;11;3,7;85;52,5;3;5,72;141;474;358;179;3,7;3,7;5,7;141,66;478;0,3;0,78;1,5;62;0
L023;Fórmula de seguimiento en polvo;mililitros;1;2,38;473,9;12,5;23,5;10,2;10;3,3;85;53,1;2,8;5,72;190;589;611;349;9;6,4;5,8;131,66;454;0,28;0,78;1,1;58;0
L024;Fórmula de inicio fluida;mililitros;1;86,94;65,5;1,4;3,5;1,5;1,5;0,5;12;7,1;0,4;0,66;15;61;42;21;0,8;0,5;0,05;6;60;0,04;0,009;0,15;5,4;0
L025;Fórmula de seguimiento fluida;mililitros;1;86,04;65,69;2,23;2,93;1,41;1,38;0,45;12;7,6;0,4;0,49;33;100;80;61;1,2;0,5;0,5;6;60;0,04;0,009;0,15;5,3;0
M001;Mayonesa;gramos;1;10;741,72;1,68;79;9;21,5;48,5;58;6;0;2,3;869;52;27;43;0,77;0,23;0;12;84;0;0;0,4;0;0
