Código;Alimento;Unidades;Factor Correc;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
A001;Almidón de maíz;gramos;1;8,32;362,97;0,26;0,05;0,009;0,016;0,025;0;90,37;0,9;0,09;9;3;2;13;0,47;0,06;0;0;0;0;0;0;0;0
A002;Amaranto;gramos;1;9,84;320,27;14,45;6,51;1,662;1,433;2,891;0;50,97;15,2;3,03;21;366;153;455;7,59;3,18;1,29;49;0;0,08;0,208;0;0;0
A003;Arroz blanco;gramos;1;12,5;346,2;6,9;0,2;0,054;0,061;0,052;0;79,2;0;1,2;4;78;9;93;0,7;1,19;4,7;9,27;0;0,038;0,091;0;0;0
A004;Arroz integral;gramos;1;7,76;343,44;14,73;1,08;0,156;0,159;0,676;0;68,7;6,2;1,53;7;427;21;433;1,96;5,96;6,73;95;1;0,115;0,262;0;0;0
A005;Avena arrollada;gramos;1;8,8;349,5;16;6,3;1,11;1,98;2,3;0;57,2;9,8;1,9;4;350;52;474;4,2;3,07;0,78;32;0;0,73;0,14;0;0;0
A006;Arveja semilla seca entera cruda;gramos;1;11,6;296,7;22,5;2,9;0,402;0,605;1,237;0;45,15;13,5;2,56;14,1;1096;52,2;340;4,3;4,2;2,81;266;7;0,705;0,208;0;0;0
A007;Arveja semilla seca partida cruda ó germen de trigo;gramos;1;11,1;309,3;22;2,9;0,162;0,244;0,499;0;48,8;12,2;2,65;16;988;51;349;4,5;3,7;2,92;277;7;0,733;0,217;0;0;0
A008;Barras de cereales / turron;gramos;1;14,5;368,3;4,4;7,5;1,5;5;0,9;0;70,8;2,1;0,7;297;197;41;103;4,86;4,1;13,5;108;608;1;1,1;0;0;0
A009;Bizcochos de grasa / Mantecado / tortitas Jachaleras;gramos;1;7;458,8;6;24;11,96;10,04;0,96;26;54,7;6,4;1,9;628;148;35;143;5,2;0,5;4,38;370,1;5;0,83;0,41;0;0;0
A010;Bizcochos tipo Bay Biscuit / bollitos de anis;gramos;1;9;370;11,5;4,4;1,5;1,4;0,9;0;71,1;1,4;2,6;171;97;212;125;1,24;0,9;4,3;0;34,8;0,2;0,5;0;0;0
